id;code;name;description;status;created_by;created_date;last_modified_by;last_modified_date
1;SHOP001;Shop001;;ACTIVE;Kelvin;2020-05-02T12:18:27;Kelvin;2020-05-02T12:18:27
2;SHOP002;Shop002;;ACTIVE;Kelvin;2020-05-02T12:18:27;Kelvin;2020-05-02T12:18:27
3;Agent;override;Frozen 5th generation;ACTIVE;payment architect integrated;2020-05-02T13:11:54;Keyboard Berkshire Cayman Islands Dollar;2020-05-02T17:22:28
4;Indiana withdrawal Lodge;Bedfordshire;Borders seize Intelligent;INACTIVE;Dynamic;2020-05-02T21:14:30;orchestration;2020-05-02T10:40:50
5;backing up Sleek Steel Bike Generic Wooden Table;emulation Quality-focused;asynchronous;ACTIVE;Belize Dollar Investment Account Micronesia;2020-05-02T10:28:58;systems;2020-05-03T04:42:25
6;Director;Investor;turquoise extend Granite;INACTIVE;Computers;2020-05-03T00:29:34;copy;2020-05-03T00:29:47
7;Music;uniform Operations;Cambridgeshire;ACTIVE;Ergonomic;2020-05-03T06:02:20;reinvent maroon;2020-05-03T04:56:27
8;Table system;Shoes project;navigating;INACTIVE;open-source Practical Plastic Salad AGP;2020-05-02T10:59:59;Home;2020-05-03T03:00:31
9;deposit Fantastic Frozen Table brand;Montserrat;middleware;ACTIVE;Wooden;2020-05-02T14:01:05;parsing Profit-focused;2020-05-02T14:50:30
10;Distributed;Wooden Rubber time-frame;dedicated Alabama Guinea-Bissau;ACTIVE;hard drive;2020-05-03T00:13:51;Multi-tiered;2020-05-03T03:32:57
11;Summit Buckinghamshire Arkansas;port;fault-tolerant District;INACTIVE;bandwidth grey dynamic;2020-05-02T12:18:27;Wooden Specialist Future;2020-05-02T21:19:30
12;core content-based;best-of-breed THX red;Monitored Savings Account Coordinator;ACTIVE;Pre-emptive 5th generation superstructure;2020-05-03T03:17:26;Money Market Account Bedfordshire program;2020-05-02T07:50:56
