id;jhi_from;jhi_to;type;delegate_id;status;created_by;created_date;last_modified_by;last_modified_date
1;2020-05-02T08:39:32;2020-05-03T06:51:06;OFFICE;firewall;ACTIVE;bypass Michigan enable;2020-05-02T21:07:54;overriding Handcrafted;2020-05-03T05:27:14
2;2020-05-02T14:43:19;2020-05-02T15:49:24;COMPANY;Producer;INACTIVE;Brunei Dollar Engineer;2020-05-02T16:18:56;indexing Canyon Internal;2020-05-03T00:05:04
3;2020-05-03T05:32:53;2020-05-02T12:04:26;ACCOUNT;Handcrafted;INACTIVE;generate Avon;2020-05-02T10:31:06;Supervisor impactful Fantastic;2020-05-02T19:30:23
4;2020-05-03T04:39:55;2020-05-03T01:20:42;ACCOUNT;evolve synergy;INACTIVE;whiteboard parse EXE;2020-05-03T05:29:09;International withdrawal Home Loan Account;2020-05-02T16:22:51
5;2020-05-03T02:46:37;2020-05-02T07:48:20;COMPANY;Creative Movies Rufiyaa;INACTIVE;Soap National;2020-05-02T07:36:11;Virginia Viaduct;2020-05-02T08:59:52
6;2020-05-02T08:55:11;2020-05-02T23:10:54;ACCOUNT;transmit virtual;ACTIVE;program;2020-05-03T03:22:49;paradigm dynamic yellow;2020-05-02T09:42:05
7;2020-05-03T01:41:54;2020-05-02T17:35:16;ACCOUNT;dynamic navigating help-desk;ACTIVE;Bedfordshire Frozen Summit;2020-05-02T22:34:50;International;2020-05-02T19:53:08
8;2020-05-03T03:40:07;2020-05-02T09:54:12;OFFICE;Automotive French Guiana Credit Card Account;INACTIVE;Borders communities Zambia;2020-05-03T06:24:02;Sausages compelling;2020-05-03T06:24:55
9;2020-05-02T23:44:19;2020-05-03T04:00:41;ACCOUNT;Fantastic Metal Salad website clear-thinking;ACTIVE;heuristic;2020-05-03T06:08:13;Directives Savings Account Handcrafted Wooden Tuna;2020-05-02T21:05:19
10;2020-05-03T06:29:45;2020-05-02T23:19:49;ACCOUNT;withdrawal Direct portal;ACTIVE;Intelligent Granite Chicken Ville;2020-05-02T16:53:06;transmitter;2020-05-02T20:26:56
