id;name;code;brand;description;content;remark;status;created_by;created_date;last_modified_by;last_modified_date;shop_id
1;Product001;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
2;Product002;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
3;Product003;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
4;Product004;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
5;Product005;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
6;Product006;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
7;Product007;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;1
8;Product008;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;2
9;Product009;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;2
10;Product0010;;;Description;;Remark;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;2
11;Generic Steel Tuna;website calculating;cross-platform support;navigate wireless Chilean Peso Unidades de fomento;;Dynamic magenta Track;ACTIVE;Centers Steel Credit Card Account;2020-05-02T16:17:37;navigating Metical;2020-05-02T21:02:35;2
12;throughput;Union transmitting;New Zealand;Bedfordshire;;Gloves Lao People's Democratic Republic;ACTIVE;Bike;2020-05-03T05:53:09;Computer Oklahoma Identity;2020-05-03T02:30:29;2
13;Security;Data Identity;Dynamic auxiliary;Human New Mexico Implementation;;Ethiopia;INACTIVE;Liaison;2020-05-03T02:03:05;Shoes;2020-05-02T10:05:19;2
14;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;cross-platform;multi-byte online Forward;;Computer efficient Sleek Soft Sausages;ACTIVE;lavender wireless navigate;2020-05-03T02:16:54;Harbors backing up;2020-05-02T09:24:21;2
15;e-commerce Ergonomic Concrete Salad;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;Chair National Ukraine;;Balboa US Dollar Usability transmit;INACTIVE;Martinique Industrial Rustic;2020-05-03T01:22:29;Taka;2020-05-03T01:08:33;2
16;wireless bypassing e-business;Computers Tuvalu Trinidad and Tobago Dollar;multi-byte Checking Account;Coordinator Bedfordshire;;Security Ramp Ball;ACTIVE;Gateway program;2020-05-02T08:08:15;Accounts convergence;2020-05-02T17:12:11;2
17;Pula;copying;transmit;deposit global Sausages;;Home Loan Account;RESTRICTED;Vista;2020-05-03T00:54:57;generating;2020-05-03T03:07:09;2
18;portals Home Loan Account killer;Wooden Belize Dollar;Pike;pixel Credit Card Account;;Keyboard;INACTIVE;Buckinghamshire;2020-05-03T04:13:38;application Iran USB;2020-05-03T05:54:40;2
19;Open-architected Orchard Agent;Technician Intelligent Concrete Gloves Web;redefine;efficient Jersey Producer;;User-friendly Bacon;INACTIVE;sky blue;2020-05-02T12:25:07;Massachusetts ROI;2020-05-02T15:25:37;2
20;Awesome Frozen Ball Plastic;Persistent primary;Unbranded Plastic Bacon;Palladium Malta;;Nevada forecast Kids;INACTIVE;navigating Computer;2020-05-03T02:36:41;next-generation Integration Producer;2020-05-03T06:56:16;2
