id;product_id;name;code;brand;description;content;remark;status;created_by;created_date
1;78227;programming;European Monetary Unit (E.M.U.-6) efficient Kazakhstan;e-tailers;plum fuchsia connecting;Massachusetts Ukraine invoice;Summit Nepalese Rupee Intelligent;RESTRICTED;Outdoors Borders user-centric;2020-05-02T21:29:24
2;69042;feed;transparent extend;Buckinghamshire Brook Jewelery;payment;Pakistan Rupee Steel Industrial;haptic Bedfordshire;RESTRICTED;calculate Wooden;2020-05-02T20:35:01
3;84638;grey Program;Regional;SCSI Generic Fresh Sausages;global;SAS Costa Rican Colon;programming Idaho port;INACTIVE;frame;2020-05-02T11:13:46
4;19055;Frozen Sri Lanka CSS;Cuban Peso Peso Convertible Developer Solutions;Incredible Wooden;Cotton;bypass archive programming;Brazilian Real United Kingdom Vermont;INACTIVE;synthesizing Refined Rubber Bacon;2020-05-02T15:37:53
5;91166;recontextualize;Wyoming Global product;Checking Account Bedfordshire;Bedfordshire Guadeloupe SCSI;global Legacy Center;dynamic;RESTRICTED;Money Market Account;2020-05-03T04:25:46
6;81671;paradigms;neural Checking Account;Shoal Shore;North Carolina Avon;program;Coordinator UAE Dirham;RESTRICTED;maroon Administrator;2020-05-03T07:03:01
7;54434;index Sleek Borders;olive Jamaican Dollar;Clothing Automotive framework;Bulgaria;transmit;FTP Function-based paradigms;INACTIVE;RAM;2020-05-03T05:35:11
8;16595;secured line copy;leading-edge Bedfordshire frictionless;parse Grocery supply-chains;Interactions Tokelau Virginia;eco-centric generating Reunion;Rue Crossroad;ACTIVE;New Caledonia Developer;2020-05-02T21:01:40
9;9268;redefine;Incredible;Analyst seize Virginia;Pass revolutionize;Personal Loan Account compressing enable;withdrawal Ridges;RESTRICTED;Sports Movies Handcrafted;2020-05-02T11:49:21
10;86692;bypassing;generate RAM white;Oman;Gorgeous reinvent intermediate;Liberia Towels;technologies Regional systems;INACTIVE;application Handcrafted;2020-05-02T21:43:45
